pos;name;pais1;pais2;num;edad;team_name
Delantero centro;Lucas Vennegoor of Hesselink;Países Bajos;;25;14/03/2006;fc_twente_enschede
Portero;Gonzalo Crettaz;España;Argentina;1;28/02/2000;nec_nijmegen
Portero;Jasper Cillessen;Países Bajos;;22;22/04/1989;nec_nijmegen
Portero;Rijk Janse;Países Bajos;;31;16/04/2002;nec_nijmegen
Defensa central;Ahmetcan Kaplan;Turquía;;4;16/01/2003;nec_nijmegen
Defensa central;Philippe Sandler;Países Bajos;Estados Unidos;3;10/02/1997;nec_nijmegen
Defensa central;Brayann Pereira;Francia;Congo;2;21/05/2003;nec_nijmegen
Defensa central;Deveron Fonville;Curazao;Países Bajos;24;16/05/2003;nec_nijmegen
Defensa central;Thomas Ouwejan;Países Bajos;;5;30/09/1996;nec_nijmegen
Defensa central;Eli Dasa;Israel;Etiopía;14;03/12/1992;nec_nijmegen
Defensa central;Jetro Willems;Países Bajos;Curazao;15;30/03/1994;nec_nijmegen
Defensa central;Bram Nuytinck;Países Bajos;;17;04/05/1990;nec_nijmegen
Pivote;Darko Nejasmic;Croacia;;6;25/01/1999;nec_nijmegen
Pivote;Dirk Proper;Países Bajos;;71;24/02/2002;nec_nijmegen
Mediocentro;Kodai Sano;Japón;;23;25/09/2003;nec_nijmegen
Mediocentro;Sam de Laat;Países Bajos;;35;12/06/2006;nec_nijmegen
Interior derecho;Sami Ouaissa;Países Bajos;Marruecos;25;02/10/2004;nec_nijmegen
Interior izquierdo;Başar Önal;Turquía;Países Bajos;11;06/07/2004;nec_nijmegen
Interior izquierdo;Virgil Misidjan;Surinam;Países Bajos;7;24/07/1993;nec_nijmegen
Mediocentro ofensivo;Willum Thór Willumsson;Islandia;;19;23/10/1998;nec_nijmegen
Mediocentro ofensivo;Noé Lebreton;Francia;Senegal;20;22/04/2004;nec_nijmegen
Mediocentro ofensivo;Isak Hansen-Aarøen;Noruega;;8;22/08/2004;nec_nijmegen
Mediocentro ofensivo;Tjaronn Chery;Surinam;Países Bajos;10;04/06/1988;nec_nijmegen
Delantero centro;Koki Ogawa;Japón;;18;08/08/1997;nec_nijmegen
Delantero centro;Danilo;Brasil;;9;07/04/1999;nec_nijmegen
Delantero centro;Youssef El Kachati;Marruecos;Países Bajos;34;09/11/1999;nec_nijmegen
Delantero centro;Bryan Linssen;Países Bajos;;30;08/10/1990;nec_nijmegen
Portero;Bernt Klaverboer;Países Bajos;;22;26/09/2005;sc_heerenveen
Portero;Nordin Bakker;Países Bajos;;31;31/10/1997;sc_heerenveen
Portero;Andries Noppert;Países Bajos;;44;07/04/1994;sc_heerenveen
Defensa central;Maas Willemsen;Países Bajos;;3;29/04/2003;sc_heerenveen
Defensa central;Sam Kersten;Países Bajos;;4;30/01/1998;sc_heerenveen
Defensa central;Nikolai Hopland;Noruega;;17;24/07/2004;sc_heerenveen
Defensa central;Hristiyan Petrov;Bulgaria;;28;24/06/2002;sc_heerenveen
Lateral izquierdo;Vasilios Zagaritis;Grecia;;19;04/05/2001;sc_heerenveen
Lateral derecho;Oliver Braude;Noruega;;45;21/02/2004;sc_heerenveen
Lateral derecho;Mats Egbring;Países Bajos;;13;17/09/2006;sc_heerenveen
Pivote;Joris van Overeem;Países Bajos;;6;01/06/1994;sc_heerenveen
Mediocentro;Marcus Linday;Suecia;;16;02/06/2003;sc_heerenveen
Mediocentro;Isaiah Ahmed;Curazao;Países Bajos;35;28/12/2005;sc_heerenveen
Mediocentro ofensivo;Ringo Meerveld;Países Bajos;;10;21/12/2002;sc_heerenveen
Mediocentro ofensivo;Luuk Brouwers;Países Bajos;;8;03/05/1998;sc_heerenveen
Mediocentro ofensivo;Levi Smans;Países Bajos;;14;25/03/2003;sc_heerenveen
Mediocentro ofensivo;Nolhan Courtens;RD del Congo;Bélgica;36;20/12/2006;sc_heerenveen
Extremo izquierdo;Maxence Rivera;Francia;;7;30/05/2002;sc_heerenveen
Extremo izquierdo;Luca Oyen;Bélgica;;11;14/03/2003;sc_heerenveen
Extremo izquierdo;Amourricho van Axel Dongen;Países Bajos;Surinam;26;29/09/2004;sc_heerenveen
Extremo derecho;Jacob Trenskow;Dinamarca;;20;26/11/2000;sc_heerenveen
Extremo derecho;Eser Gürbüz;Países Bajos;Turquía;50;06/03/2007;sc_heerenveen
Extremo derecho;Jermaine Rijssel;Surinam;Países Bajos;33;25/03/2005;sc_heerenveen
Delantero centro;Dylan Vente;Surinam;Países Bajos;9;09/05/1999;sc_heerenveen
Delantero centro;Lasse Nordås;Noruega;;18;10/02/2002;sc_heerenveen
Portero;Etienne Vaessen;Surinam;Países Bajos;1;26/07/1995;fc_groningen
Portero;Lovro Stubljar;Eslovenia;;13;09/08/2004;fc_groningen
Portero;Hidde Jurjus;Países Bajos;;21;09/02/1994;fc_groningen
Portero;Dirk Baron;Países Bajos;;24;16/08/2002;fc_groningen
Defensa central;Dies Janse;Países Bajos;;4;17/01/2006;fc_groningen
Defensa central;Thijmen Blokzijl;Países Bajos;;3;25/02/2005;fc_groningen
Defensa central;Sven Bouland;Países Bajos;;22;22/02/2006;fc_groningen
Defensa central;Elvis van der Laan;Suecia;Países Bajos;15;29/02/2008;fc_groningen
Defensa central;Robin Kelder;Países Bajos;;48;25/03/2005;fc_groningen
Lateral izquierdo;Wouter Prins;Países Bajos;;2;06/02/2004;fc_groningen
Lateral izquierdo;Marvin Peersman;Bélgica;Ghana;43;10/02/1991;fc_groningen
Lateral derecho;Marco Rente;Alemania;;5;25/02/1997;fc_groningen
Lateral derecho;Tyrique Mercera;Curazao;Países Bajos;16;19/12/2003;fc_groningen
Pivote;Stije Resink;Países Bajos;;6;28/05/2003;fc_groningen
Mediocentro;Tygo Land;Países Bajos;;18;11/01/2006;fc_groningen
